Reaction	P.Value	Pathway	adj_pval
1	R8	0	Glycolysis	0
2	R9	0	Glycolysis	0
3	R10	0	Glycolysis	0
4	R12	0	Glycolysis	0
5	R13	0	Glycolysis	0
6	R25	0	TCA Cycle	0
7	R26	0	TCA Cycle	0
8	R27	0	TCA Cycle	0
9	R30	0	TCA Cycle	0
10	R33	0	TCA Cycle	0
11	R34	0	TCA Cycle	0
12	R35	0	TCA Cycle	0
13	R36	0	TCA Cycle	0
14	R37	0	TCA Cycle	0
15	R39	0	TCA Cycle	0
16	R41	0	Oxidative Phosphorylation and ATPase	0
17	R42	0	Oxidative Phosphorylation and ATPase	0
18	R43	0	Oxidative Phosphorylation and ATPase	0
19	R44	0	Oxidative Phosphorylation and ATPase	0
20	R45	0	Oxidative Phosphorylation and ATPase	0
21	R50	0	Glycolysis	0
22	R51	0	Glycolysis	0
23	R53	0	Glycolysis	0
24	R54	0	Glycolysis	0
25	R55	0	Glycolysis	0
26	R57	0	Glycolysis	0
27	R69	0	TCA Cycle	0
28	R70	0	TCA Cycle	0
29	R71	0	TCA Cycle	0
30	R75	0	TCA Cycle	0
31	R76	0	TCA Cycle	0
32	R77	0	TCA Cycle	0
33	R78	0	TCA Cycle	0
34	R79	0	TCA Cycle	0
35	R80	0	TCA Cycle	0
36	R81	0	TCA Cycle	0
37	R85	0	Oxidative Phosphorylation and ATPase	0
38	R86	0	Oxidative Phosphorylation and ATPase	0
39	R87	0	Oxidative Phosphorylation and ATPase	0
40	R88	0	Oxidative Phosphorylation and ATPase	0
41	R90	0	Glutamate - Glutamine Cycle	0
42	R91	0	Glutamate - Glutamine Cycle	0
43	R94	0	Glutamate - Glutamine Cycle	0
44	R95	0	Glutamate - Glutamine Cycle	0
45	R96	0	Glutamate - Glutamine Cycle	0
46	R97	0	GABA Cycle	0
47	R98	0	GABA Cycle	0
48	R99	0	GABA Cycle	0
49	R100	0	GABA Cycle	0
50	R101	0	GABA Cycle	0
51	R102	0	GABA Cycle	0
52	R103	0	Aspartate Metabolism	0
53	R104	0	Aspartate Metabolism	0
54	R105	0	Aspartate Metabolism	0
55	R109	0	Alanine Metabolism	0
56	R110	0	Alanine Metabolism	0
57	R111	0	Alanine Metabolism	0
58	R112	0	Glycine-Serine Metabolism	0
59	R113	0	Glycine-Serine Metabolism	0
60	R114	0	Glycine-Serine Metabolism	0
61	R116	0	Glycine-Serine Metabolism	0
62	R128	0	Ketone Body Metabolism	0
63	R145	0	Isoleucine Metabolism	0
64	R151	0	Isoleucine Metabolism	0
65	R152	0	Isoleucine Metabolism	0
66	R153	0	Isoleucine Metabolism	0
67	R202	0	Cholesterol Synthesis	0
68	R203	0	Cholesterol Synthesis	0
69	R204	0	Cholesterol Synthesis	0
70	R205	0	Cholesterol Synthesis	0
71	R206	0	Cholesterol Synthesis	0
72	R207	0	Cholesterol Synthesis	0
73	R208	0	Cholesterol Synthesis	0
74	R209	0	Cholesterol Synthesis	0
75	R210	0	Cholesterol Synthesis	0
76	R211	0	Cholesterol Synthesis	0
77	R212	0	Cholesterol Synthesis	0
78	R213	0	Cholesterol Synthesis	0
79	R214	0	Cholesterol Synthesis	0
80	R215	0	Cholesterol Synthesis	0
81	R216	0	Cholesterol Synthesis	0
82	R217	0	Cholesterol Synthesis	0
83	R218	0	Cholesterol Synthesis	0
84	R219	0	Cholesterol Synthesis	0
85	R220	0	Cholesterol Synthesis	0
86	R221	0	Cholesterol Synthesis	0
87	R222	0	Cholesterol Synthesis	0
88	R223	0	Cholesterol Synthesis	0
89	R224	0	Cholesterol Synthesis	0
90	R225	0	Cholesterol Synthesis	0
91	R226	0	Cholesterol Synthesis	0
92	R227	0	Cholesterol Synthesis	0
93	R228	0	Cholesterol Synthesis	0
94	R232	0	Cholesterol Synthesis	0
95	R233	0	Cholesterol Synthesis	0
96	R234	0	Cholesterol Synthesis	0
97	R235	0	Cholesterol Synthesis	0
98	R236	0	Cholesterol Synthesis	0
99	R237	0	Cholesterol Synthesis	0
100	R238	0	Cholesterol Synthesis	0
101	R239	0	Cholesterol Synthesis	0
102	R240	0	Cholesterol Synthesis	0
103	R241	0	Cholesterol Synthesis	0
104	R242	0	Cholesterol Synthesis	0
105	R243	0	Cholesterol Synthesis	0
106	R244	0	Cholesterol Synthesis	0
107	R245	0	Cholesterol Synthesis	0
108	R246	0	Cholesterol Synthesis	0
109	R247	0	Cholesterol Synthesis	0
110	R248	0	Cholesterol Synthesis	0
111	R249	0	Cholesterol Synthesis	0
112	R250	0	Cholesterol Synthesis	0
113	R251	0	Cholesterol Synthesis	0
114	R252	0	Cholesterol Synthesis	0
115	R296	0	Fatty Acid Synthesis	0
116	R297	0	Fatty Acid Synthesis	0
117	R298	0	Fatty Acid Synthesis	0
118	R299	0	Fatty Acid Synthesis	0
119	R300	0	Fatty Acid Synthesis	0
120	R301	0	Fatty Acid Synthesis	0
121	R302	0	Fatty Acid Synthesis	0
122	R303	0	Fatty Acid Synthesis	0
123	R304	0	Fatty Acid Synthesis	0
124	R305	0	Fatty Acid Synthesis	0
125	R306	0	Fatty Acid Synthesis	0
126	R307	0	Fatty Acid Synthesis	0
127	R308	0	Fatty Acid Synthesis	0
128	R309	0	Fatty Acid Synthesis	0
129	R310	0	Fatty Acid Synthesis	0
130	R311	0	Fatty Acid Synthesis	0
131	R312	0	Fatty Acid Synthesis	0
132	R313	0	Fatty Acid Synthesis	0
133	R314	0	Fatty Acid Synthesis	0
134	R315	0	Fatty Acid Synthesis	0
135	R316	0	Fatty Acid Synthesis	0
136	R318	0	Fatty Acid Synthesis	0
