Reaction	Adj.P-Values	Pathway	Formula
R8	0	Glycolysis	m_3_phosphoglycerate_A <==> m_2_phosphoglycerate_A
R9	0	Glycolysis	m_2_phosphoglycerate_A <==> m_Phosphoenol_pyruvate_A
R13	0	Glycolysis	m_Pyruvate_A + m_NAD_AM --> m_Acetyl_CoA_A + m_CO2_A + m_NADH_AM
R26	0	TCA Cycle	m_Citrate_A <==> m_Cis_aconitate_A
R27	0	TCA Cycle	m_Cis_aconitate_A <==> m_Isocitrate_A
R30	0	TCA Cycle	m_Isocitrate_A + m_NAD_AM --> m_alpha_ketoglutarate_A + m_NADH_AM + m_CO2_A
R31	0	TCA Cycle	m_Isocitrate_A + m_NADP_A --> m_alpha_ketoglutarate_A + m_NADPH_A + m_CO2_A
R32	0	TCA Cycle	m_Isocitrate_A + m_NADP_AM --> m_alpha_ketoglutarate_A + m_NADPH_AM + m_CO2_A
R33	0	TCA Cycle	m_alpha_ketoglutarate_A + m_NAD_AM --> m_Succinyl_CoA_A + m_NADH_AM + m_CO2_A
R34	0	TCA Cycle	m_Succinyl_CoA_A + m_ADP_A <==> m_Succinate_A + m_ATP_A
R35	0	TCA Cycle	m_Succinate_A + m_FAD_AM <==> m_Fumarate_A + m_FADH2_AM
R36	0	TCA Cycle	m_Fumarate_A <==> m_Malate_A
R37	0	TCA Cycle	m_Malate_A + m_NAD_AM --> m_Oxoloacetate_A + m_NADH_AM
R41	0	Oxidative Phosphorylation and ATPase	m_NADH_AM + m_Ubiquinone_A --> m_NAD_AM + m_Ubiquinol_A + 4 m_Hc_A
R42	0	Oxidative Phosphorylation and ATPase	m_Ubiquinol_A + m_CytCox_A --> m_Ubiquinone_A + m_CytCred_A + 4 m_Hc_A
R43	0	Oxidative Phosphorylation and ATPase	m_CytCred_A + 0.5 m_O2_A --> m_CytCox_A + 2 m_Hc_A
R44	0	Oxidative Phosphorylation and ATPase	m_FADH2_AM + m_Ubiquinone_A --> m_FAD_AM + m_Ubiquinol_A
R45	0	Oxidative Phosphorylation and ATPase	m_ADP_A + 4 m_Hc_A --> m_ATP_A
R57	0	Glycolysis	m_Pyruvate_N + m_NAD_NM --> m_Acetyl_CoA_N + m_CO2_N + m_NADH_NM
R70	0	TCA Cycle	m_Citrate_N <==> m_Cis_aconitate_N
R71	0	TCA Cycle	m_Cis_aconitate_N <==> m_Isocitrate_N
R73	0	TCA Cycle	m_Isocitrate_N + m_NAD_NM --> m_alpha_ketoglutarate_N + m_NADH_NM + m_CO2_N
R74	0	TCA Cycle	m_Isocitrate_N + m_NADP_NM --> m_alpha_ketoglutarate_N + m_NADPH_NM + m_CO2_N
R75	0	TCA Cycle	m_Isocitrate_N + m_NADP_N --> m_alpha_ketoglutarate_N + m_NADPH_N + m_CO2_N
R76	0	TCA Cycle	m_alpha_ketoglutarate_N + m_NAD_NM --> m_Succinyl_CoA_N + m_NADH_NM + m_CO2_N
R77	0	TCA Cycle	m_Succinyl_CoA_N + m_ADP_N <==> m_Succinate_N + m_ATP_N
R78	0	TCA Cycle	m_Succinate_N + m_FAD_NM <==> m_Fumarate_N + m_FADH2_NM
R79	0	TCA Cycle	m_Fumarate_N <==> m_Malate_N
R80	0	TCA Cycle	m_Malate_N + m_NAD_NM --> m_Oxoloacetate_N + m_NADH_NM
R84	0	Oxidative Phosphorylation and ATPase	m_NADH_NM + m_Ubiquinone_N --> m_NAD_NM + m_Ubiquinol_N + 4 m_Hc_N
R87	0	Oxidative Phosphorylation and ATPase	m_FADH2_NM + m_Ubiquinone_N --> m_FAD_NM + m_Ubiquinol_N
R88	0	Oxidative Phosphorylation and ATPase	m_ADP_N + 4 m_Hc_N --> m_ATP_N
R91	0	Glutamate - Glutamine Cycle	m_Glutamate_N + m_ATP_A --> m_Glutamate_A + m_ADP_A
R94	0	Glutamate - Glutamine Cycle	m_Glutamate_A + m_NH3_A + m_ATP_A --> m_Glutamine_A + m_ADP_A
R95	0	Glutamate - Glutamine Cycle	m_Glutamine_A --> m_Glutamine_N
R96	0	Glutamate - Glutamine Cycle	m_Glutamine_N --> m_Glutamate_N + m_NH3_N
R97	0	GABA Cycle	m_Glutamate_N --> m_GABA_N + m_CO2_N
R98	0	GABA Cycle	m_GABA_N <==> m_GABA_A
R101	0	GABA Cycle	m_GABA_N + m_alpha_ketoglutarate_N --> m_Glutamate_N + m_SuccinateSAL_N
R102	0	GABA Cycle	m_SuccinateSAL_N + m_NAD_NM --> m_NADH_NM + m_Succinate_N
R103	0	Aspartate Metabolism	m_Oxoloacetate_N + m_Glutamate_N <==> m_Aspartate_N + m_alpha_ketoglutarate_N
R104	0	Aspartate Metabolism	m_Aspartate_N <==> m_Aspartate_A
R105	0	Aspartate Metabolism	m_Aspartate_A + m_alpha_ketoglutarate_A <==> m_Oxoloacetate_A + m_Glutamate_A
R109	0	Alanine Metabolism	m_Pyruvate_N + m_Glutamate_N <==> m_alpha_ketoglutarate_N + m_Alanine_N
R110	0	Alanine Metabolism	m_Alanine_N <==> m_Alanine_A
R111	0	Alanine Metabolism	m_Alanine_A + m_alpha_ketoglutarate_A <==> m_Pyruvate_A + m_Glutamate_A
R112	0	Glycine-Serine Metabolism	m_3_phosphoglycerate_A + m_NAD_A <==> m_3_phosphohydroxypyruvate_A + m_NADH_A
R113	0	Glycine-Serine Metabolism	m_3_phospho_serine_A + m_alpha_ketoglutarate_A <==> m_3_phosphohydroxypyruvate_A + m_Glutamate_A
R114	0	Glycine-Serine Metabolism	m_3_phospho_serine_A --> m_Serine_A
R115	0	Glycine-Serine Metabolism	m_Serine_A --> m_Pyruvate_A + m_NH3_A
R116	0	Glycine-Serine Metabolism	m_Serine_A --> m_Serine_N
R117	0	Glycine-Serine Metabolism	m_Serine_N + m_tetrahydrofolate_N --> m_Glycine_N
R118	0	Glycine-Serine Metabolism	m_Glycine_N --> m_Glycine_A
R119	0	Glycine-Serine Metabolism	m_Glycine_A + m_NAD_AM + m_tetrahydrofolate_A --> m_CO2_A + m_NH3_A + m_NADH_AM
R120	0	Glycine-Serine Metabolism	m_Glycine_A --> m_tetrahydrofolate_A + m_Serine_A
