Reaction ID	Formula	Cell Type	Healthy	Bipolar Disorder
R30	Isocitrate + NAD -> alpha_ketoglutarate + NADH + CO2	Astrocyte	0.214429693	0
R33	alpha_ketoglutarate + NAD -> Succinyl_CoA + NADH + CO2	Astrocyte	0.092607109	0
R422	2 ReducedGlutathione + H2O2 -> OxidizedGlutathione	Astrocyte	0.0192	0
R423	OxidizedGlutathione + NADPH -> 2 ReducedGlutathione + NADP	Astrocyte	0.0192	0
R461	Putrescine + Acetyl_CoA -> Ncetylputrescine	Astrocyte	0.0051	0
R462	Ncetylputrescine + O2 -> Acetamidobutanal + NH3 + H2O2	Astrocyte	0.0051	0
R463	Acetamidobutanal + NAD -> Acetamidobutanoate + NADH	Astrocyte	0.0051	0
R464	Acetamidobutanoate -> GABA	Astrocyte	0.0051	0
R145	Isoleucine + alpha_ketoglutarate <-> KMV + Glutamate	Astrocyte	0.106189595	0.004
R37	Malate + NADM -> Oxoloacetate + NADHM	Astrocyte	0.098407109	0.0058
R35	Succinate + FADM <-> Fumarate + FADH2M	Astrocyte	0.098407109	0.0058
R36	Fumarate <-> Malate	Astrocyte	0.098407109	0.0058
R31	Isocitrate + NADP -> alpha_ketoglutarate + NADPH + CO2	Astrocyte	0	0.004524573
R32	Isocitrate + NADPM -> alpha_ketoglutarate + NADPHM + CO2	Astrocyte	0	0.26214218
R115	Serine -> Pyruvate + NH3	Astrocyte	0	0.003785218
R119	Glycine + NADM + tetrahydrofolate -> CO2 + NH3 + NADHM	Astrocyte	0	0.00376082
R120	Glycine -> tetrahydrofolate + Serine	Astrocyte	0	0.00376082
R179	S_1_pyrroline_5_carboxylate + NADPH -> proline + NADP	Astrocyte	0	0.023724573
R180	proline + FADM -> S_1_pyrroline_5_carboxylate + FADH2M	Astrocyte	0	0.023724573
R447	Arginine -> Ornithine + Urea	Astrocyte	0	0.002
R448	Ornithine + alpha_ketoglutarate <-> Glutamate + Glutamate_semialdehyde	Astrocyte	0	0.0051
R449	Glutamate_semialdehyde <-> S_1_pyrroline_5_carboxylate	Astrocyte	0	0.0051
R450	S_1_pyrroline_5_carboxylate + NAD -> Glutamate + NADH	Astrocyte	0	0.0051
R627	Urea -> 	Astrocyte	0	0.002
R34	Succinyl_CoA + ADP <-> Succinate + ATP	Astrocyte	0.083907109	-0.0087
R105	Aspartate + alpha_ketoglutarate <-> Oxoloacetate + Glutamate	Astrocyte	0.108922584	0.253766754
R94	Glutamate + NH3 + ATP -> Glutamine + ADP	Astrocyte	0.121822584	0.3153162
R111	Alanine + alpha_ketoglutarate <-> Pyruvate + Glutamate	Astrocyte	0.00283299	0.0584381
