Var1	Var2	Var3
m_Glucose_A[c]	Glucose	A
m_ATP_A[c]	ATP	A
m_Glucose_6_phosphate_A[c]	Glucose-6-phosphate	A
m_ADP_A[c]	ADP	A
m_Fructose_6_phosphate_A[c]	Fructose-6-phosphate	A
m_Fructose_1_6_biphosphate_A[c]	Fructose-1-6-biphosphate	A
m_Glyceraldehyde_3_phosphate_A[c]	Glyceraldehyde-3-phosphate	A
m_Dihydroxyacetone_phosphate_A[c]	Dihydroxyacetone-phosphate	A
m_NAD_A[c]	NAD	A
m_1_3_biphosphoglycerate_A[c]	1-3-biphosphoglycerate	A
m_NADH_A[c]	NADH	A
m_3_phosphoglycerate_A[c]	3-phosphoglycerate	A
m_2_phosphoglycerate_A[c]	2-phosphoglycerate	A
m_Phosphoenol_pyruvate_A[c]	Phosphoenol-pyruvate	A
m_Pyruvate_A[c]	Pyruvate	A
m_Lactate_A[c]	Lactate	A
m_Bicarbonate_A[c]	Bicarbonate	A
m_Oxoloacetate_A[c]	Oxoloacetate	A
m_NAD_AM[c]	NAD	AM
m_Acetyl_CoA_A[c]	Acetyl-CoA	A
m_CO2_A[c]	CO2	A
m_NADH_AM[c]	NADH	AM
m_GTP_A[c]	GTP	A
m_GDP_A[c]	GDP	A
m_2_3_Disphospho_D_glycerate_A[c]	2-3-Disphospho-D-glycerate	A
m_NADP_A[c]	NADP	A
m_6_phosphoglucone_A[c]	6-phosphoglucone	A
m_NADPH_A[c]	NADPH	A
m_6_phosphogluconate_A[c]	6-phosphogluconate	A
m_Ribulose_5_phosphate_A[c]	Ribulose-5-phosphate	A
m_Xylulose_5_phosphate_A[c]	Xylulose-5-phosphate	A
m_Ribose_5_phosphate_A[c]	Ribose-5-phosphate	A
m_Sedoheptulose_7_phosphate_A[c]	Sedoheptulose-7-phosphate	A
m_Erythrose_4_phosphate_A[c]	Erythrose-4-phosphate	A
m_Citrate_A[c]	Citrate	A
m_Cis_aconitate_A[c]	Cis_aconitate	A
m_Isocitrate_A[c]	Isocitrate	A
m_Acetate_A[c]	Acetate	A
m_alpha_ketoglutarate_A[c]	alpha-ketoglutarate	A
m_NADP_AM[c]	NADP	AM
m_NADPH_AM[c]	NADPH	AM
