Var1	Var2
m_1_2_diacylglycerol_A[c]	AGK
m_1_2_diacylglycerol_A[c]	CEPT1
m_1_2_diacylglycerol_A[c]	CHPT1
m_1_2_diacylglycerol_A[c]	DGKA
m_1_2_diacylglycerol_A[c]	DGKB
m_1_2_diacylglycerol_A[c]	DGKD
m_1_2_diacylglycerol_A[c]	DGKE
m_1_2_diacylglycerol_A[c]	DGKG
m_1_2_diacylglycerol_A[c]	DGKH
m_1_2_diacylglycerol_A[c]	DGKI
m_1_2_diacylglycerol_A[c]	DGKK
m_1_2_diacylglycerol_A[c]	DGKQ
m_1_2_diacylglycerol_A[c]	DGKZ
m_1_2_diacylglycerol_A[c]	PLCB1
m_1_2_diacylglycerol_A[c]	PLCB2
m_1_2_diacylglycerol_A[c]	PLCB3
m_1_2_diacylglycerol_A[c]	PLCB4
m_1_2_diacylglycerol_A[c]	PLCD1
m_1_2_diacylglycerol_A[c]	PLCD3
m_1_2_diacylglycerol_A[c]	PLCD4
m_1_2_diacylglycerol_A[c]	PLCE1
m_1_2_diacylglycerol_A[c]	PLCG1
m_1_2_diacylglycerol_A[c]	PLCG2
m_1_2_diacylglycerol_A[c]	PLCH1
m_1_2_diacylglycerol_A[c]	PLCH2
m_1_2_diacylglycerol_A[c]	PLCZ1
m_1_2_diacylglycerol_A[c]	SAMD8
m_1_2_diacylglycerol_A[c]	SELI
m_1_2_diacylglycerol_A[c]	SGMS1
m_1_2_diacylglycerol_A[c]	SGMS2
m_1_2_diacylglycerol_N[c]	AGK
m_1_2_diacylglycerol_N[c]	CEPT1
m_1_2_diacylglycerol_N[c]	CHPT1
m_1_2_diacylglycerol_N[c]	DGKA
m_1_2_diacylglycerol_N[c]	DGKB
m_1_2_diacylglycerol_N[c]	DGKD
m_1_2_diacylglycerol_N[c]	DGKE
m_1_2_diacylglycerol_N[c]	DGKG
m_1_2_diacylglycerol_N[c]	DGKH
m_1_2_diacylglycerol_N[c]	DGKI
m_1_2_diacylglycerol_N[c]	DGKK
m_1_2_diacylglycerol_N[c]	DGKQ
m_1_2_diacylglycerol_N[c]	DGKZ
m_1_2_diacylglycerol_N[c]	PLCB1
m_1_2_diacylglycerol_N[c]	PLCB2
m_1_2_diacylglycerol_N[c]	PLCB3
m_1_2_diacylglycerol_N[c]	PLCB4
m_1_2_diacylglycerol_N[c]	PLCD1
m_1_2_diacylglycerol_N[c]	PLCD3
m_1_2_diacylglycerol_N[c]	PLCD4
m_1_2_diacylglycerol_N[c]	PLCE1
m_1_2_diacylglycerol_N[c]	PLCG1
m_1_2_diacylglycerol_N[c]	PLCG2
m_1_2_diacylglycerol_N[c]	PLCH1
m_1_2_diacylglycerol_N[c]	PLCH2
m_1_2_diacylglycerol_N[c]	PLCZ1
m_1_2_diacylglycerol_N[c]	SAMD8
m_1_2_diacylglycerol_N[c]	SELI
m_1_2_diacylglycerol_N[c]	SGMS1
m_1_2_diacylglycerol_N[c]	SGMS2
m_1_3_biphosphoglycerate_A[c]	BPGM
m_1_3_biphosphoglycerate_A[c]	GAPDH
m_1_3_biphosphoglycerate_A[c]	GAPDHS
