NBEA	5.07E-10
HSPH1	7.92E-10
TAC1	2.82E-09
RGS4	1.18E-08
PPID	1.36E-08
CAPZA2	1.55E-08
DNAJA1	1.80E-08
HSPA8	2.03E-08
G3BP2	2.21E-08
RAB1A	3.98E-08
DLD	6.02E-08
PRKAR1A	7.40E-08
DNM1L	8.05E-08
PDIA6	8.39E-08
ISCA1	9.31E-08
CAND1	9.94E-08
PRKACB	1.04E-07
ITFG1	1.09E-07
DSTN	1.28E-07
RAB4A	1.34E-07
NELL1	1.57E-07
SPINT1	1.65E-07
ANKRD6	1.68E-07
COPS4	1.68E-07
PGK1	1.87E-07
SYNJ1	1.97E-07
RASA1	2.14E-07
PREPL	2.29E-07
ATRNL1	2.31E-07
RAN	2.36E-07
GLRB	2.37E-07
FBXO3	2.42E-07
TUSC3	2.44E-07
RCN2	2.52E-07
AZIN1	2.58E-07
KIFAP3	2.64E-07
DNAJA2	2.83E-07
PGAM1	2.93E-07
DYNC1LI1	2.95E-07
ATP6V1A	3.03E-07
MEAF6	3.05E-07
GHITM	3.07E-07
CCT2	3.11E-07
MMADHC	3.14E-07
NEFL	3.40E-07
CUL1	3.43E-07
PRPS1	3.51E-07
PSMC6	3.57E-07
MAFB	3.62E-07
ARL4C	4.13E-07
MAEA	4.26E-07
C1QBP	4.37E-07
NRXN1	4.59E-07
CHGB	4.61E-07
SCG2	4.70E-07
TRIM23	4.80E-07
DCAF6	4.82E-07
PCMT1	4.91E-07
ARNTL	4.93E-07
CAB39	5.03E-07
TM9SF2	5.28E-07
MOAP1	5.50E-07
EIF5	5.52E-07
RALB	5.70E-07
UBE2N	5.73E-07
ETS2	5.95E-07
CACNA2D3	6.07E-07
UGP2	6.11E-07
SUCLA2	6.12E-07
KCNK1	6.15E-07
MDH1	6.95E-07
SLBP	7.02E-07
ATG5	7.31E-07
SIAH2	7.33E-07
IPO5	7.42E-07
GUCY1B1	7.70E-07
PCNP	7.75E-07
ST6GALNAC5	7.78E-07
MAT2B	7.78E-07
NNT	8.01E-07
SST	8.21E-07
RNF14	8.47E-07
SKP1	8.60E-07
KCNV1	8.63E-07
ATXN10	8.79E-07
UQCRC2	8.96E-07
ECHDC2	8.98E-07
CHST2	9.00E-07
SUMO3	9.18E-07
GNB5	9.20E-07
UBE2V2	9.33E-07
VSNL1	9.79E-07
FAM3C	9.91E-07
PCDH8	1.02E-06
GABRG2	1.03E-06
IARS2	1.06E-06
GAD1	1.12E-06
ENSA	1.18E-06
CALM1	1.19E-06
RPRD1A	1.29E-06
TMEM14A	1.30E-06
PCSK1	1.31E-06
NDN	1.36E-06
FASTKD5	1.37E-06
RSL24D1	1.39E-06
CCNC	1.40E-06
PAFAH1B1	1.44E-06
SUB1	1.47E-06
ATP6V1B2	1.48E-06
NECAP1	1.49E-06
MAPK9	1.53E-06
PITPNA	1.53E-06
SEC23A	1.54E-06
ITPR1	1.66E-06
LDHA	1.67E-06
PRNP	1.68E-06
CYRIA	1.70E-06
ATP5F1A	1.70E-06
SH3GL2	1.71E-06
VDAC1	1.76E-06
TUBGCP4	1.79E-06
C3orf14	1.80E-06
GGH	1.87E-06
TIMM17A	1.91E-06
TMEM50B	1.93E-06
OXCT1	1.97E-06
MAPK10	1.97E-06
PJA1	1.99E-06
WARS1	1.99E-06
DPY19L2P2	2.02E-06
BECN1	2.05E-06
CCDC91	2.05E-06
ATP6V1G2	2.05E-06
UBE3C	2.08E-06
TM6SF1	2.14E-06
OAZ1	2.16E-06
CCT4	2.17E-06
RTF1	2.26E-06
SNX2	2.27E-06
TBL1X	2.35E-06
SNX3	2.35E-06
B3GALNT1	2.36E-06
CNIH1	2.38E-06
HSPD1	2.39E-06
TMEM70	2.40E-06
IDH3A	2.43E-06
CNTN1	2.50E-06
ATP6AP2	2.50E-06
INS	2.53E-06
OPTN	2.57E-06
ANK2	2.60E-06
SLC25A32	2.65E-06
LAPTM4B	2.84E-06
ACTR10	2.86E-06
ACTR2	3.04E-06
MRPS30	3.08E-06
C1D	3.17E-06
TIGAR	3.22E-06
VDAC2	3.26E-06
EPB41L3	3.29E-06
REEP5	3.32E-06
BEX1	3.33E-06
POLE3	3.33E-06
NRCAM	3.37E-06
SLC30A9	3.57E-06
ATP5F1B	3.73E-06
MATR3	3.79E-06
RTCA	3.84E-06
NSF	4.10E-06
KCNAB1	4.12E-06
RAD23B	4.15E-06
CLCN4	4.18E-06
GLS	4.33E-06
FAR2	4.36E-06
TOMM20	4.39E-06
CACYBP	4.41E-06
CHMP5	4.41E-06
RTN1	4.53E-06
NDRG3	4.54E-06
FGF13	4.59E-06
CHL1	4.62E-06
CALB1	4.64E-06
PSMD7	4.65E-06
SERPINI1	4.81E-06
DCLK1	4.97E-06
MLLT11	5.01E-06
PFN2	5.06E-06
PSMD12	5.07E-06
SSX2IP	5.08E-06
LRRC59	5.10E-06
CYCS	5.11E-06
CRK	5.12E-06
RAB2A	5.14E-06
TMED2	5.29E-06
GOT1	5.42E-06
ARFGEF1	5.43E-06
AUH	5.49E-06
PSMA3	5.49E-06
B4GALT6	5.55E-06
GABRA5	5.57E-06
MAP1LC3B	5.67E-06
ARPP19	5.69E-06
NGRN	5.71E-06
