Var1	Var2
Acetylcholine_Metabolism	m_Acetyl_CoA_N[c]
Acetylcholine_Metabolism	m_Acetylcholine_N[c]
Acetylcholine_Metabolism	m_Choline_N[c]
Alanine_Metabolism	m_Alanine_A[c]
Alanine_Metabolism	m_Alanine_N[c]
Alanine_Metabolism	m_Glutamate_A[c]
Alanine_Metabolism	m_Glutamate_N[c]
Alanine_Metabolism	m_Pyruvate_A[c]
Alanine_Metabolism	m_Pyruvate_N[c]
Alanine_Metabolism	m_alpha_ketoglutarate_A[c]
Alanine_Metabolism	m_alpha_ketoglutarate_N[c]
Arginine_Metabolism	m_AMP_N[c]
Arginine_Metabolism	m_ATP_N[c]
Arginine_Metabolism	m_Agmatine_A[c]
Arginine_Metabolism	m_Agmatine_N[c]
Arginine_Metabolism	m_Arginine_A[c]
Arginine_Metabolism	m_Arginine_N[c]
Arginine_Metabolism	m_Aspartate_N[c]
Arginine_Metabolism	m_CO2_A[c]
Arginine_Metabolism	m_CO2_N[c]
Arginine_Metabolism	m_Citrulline_N[c]
Arginine_Metabolism	m_Fumarate_N[c]
Arginine_Metabolism	m_Glutamate_A[c]
Arginine_Metabolism	m_Glutamate_semialdehyde_A[c]
Arginine_Metabolism	m_L_Arginino_Succinate_N[c]
Arginine_Metabolism	m_NADH_A[c]
Arginine_Metabolism	m_NADPH_N[c]
Arginine_Metabolism	m_NADP_N[c]
Arginine_Metabolism	m_NAD_A[c]
Arginine_Metabolism	m_O2_N[c]
Arginine_Metabolism	m_Ornithine[c]
Arginine_Metabolism	m_Ornithine_A[c]
Arginine_Metabolism	m_Ornithine_N[c]
Arginine_Metabolism	m_Putrescine_A[c]
Arginine_Metabolism	m_Putrescine_N[c]
Arginine_Metabolism	m_S_1_pyrroline_5_carboxylate_A[c]
Arginine_Metabolism	m_Urea_A[c]
Arginine_Metabolism	m_Urea_N[c]
Arginine_Metabolism	m_alpha_ketoglutarate_A[c]
Asparagine_Metabolism	m_AMP_N[c]
Asparagine_Metabolism	m_ATP_N[c]
Asparagine_Metabolism	m_Asparagine_N[c]
Asparagine_Metabolism	m_Aspartate_N[c]
Asparagine_Metabolism	m_Glutamate_N[c]
Asparagine_Metabolism	m_Glutamine_N[c]
Aspartate_Metabolism	m_Aspartate_A[c]
Aspartate_Metabolism	m_Aspartate_N[c]
Aspartate_Metabolism	m_Glutamate_A[c]
Aspartate_Metabolism	m_Glutamate_N[c]
Aspartate_Metabolism	m_Oxoloacetate_A[c]
Aspartate_Metabolism	m_Oxoloacetate_N[c]
Aspartate_Metabolism	m_alpha_ketoglutarate_A[c]
Aspartate_Metabolism	m_alpha_ketoglutarate_N[c]
CDP-Diacylglycerol_Biosynthesis	m_1_acyl_sn_glycerol_3_phosphate_A[c]
CDP-Diacylglycerol_Biosynthesis	m_1_acyl_sn_glycerol_3_phosphate_N[c]
CDP-Diacylglycerol_Biosynthesis	m_CDP_diacylglycerol_A[c]
CDP-Diacylglycerol_Biosynthesis	m_CDP_diacylglycerol_N[c]
CDP-Diacylglycerol_Biosynthesis	m_CTP_A[c]
CDP-Diacylglycerol_Biosynthesis	m_CTP_N[c]
CDP-Diacylglycerol_Biosynthesis	m_FattyAcid_A[c]
CDP-Diacylglycerol_Biosynthesis	m_FattyAcid_N[c]
CDP-Diacylglycerol_Biosynthesis	m_Glycerol_3_phosphate_A[c]
CDP-Diacylglycerol_Biosynthesis	m_Glycerol_3_phosphate_N[c]
CDP-Diacylglycerol_Biosynthesis	m_Phosphatidate_A[c]
CDP-Diacylglycerol_Biosynthesis	m_Phosphatidate_N[c]
Cardiolipin_Metabolism	m_CDP_diacylglycerol_A[c]
Cardiolipin_Metabolism	m_CDP_diacylglycerol_N[c]
Cardiolipin_Metabolism	m_CMP_A[c]
Cardiolipin_Metabolism	m_CMP_N[c]
Cardiolipin_Metabolism	m_Glycerol_3_phosphate_A[c]
Cardiolipin_Metabolism	m_Glycerol_3_phosphate_N[c]
Cardiolipin_Metabolism	m_cardiolipin_A[c]
Cardiolipin_Metabolism	m_cardiolipin_N[c]
Cardiolipin_Metabolism	m_phosphatidyl_glycerol_A[c]
Cardiolipin_Metabolism	m_phosphatidyl_glycerol_N[c]
Cardiolipin_Metabolism	m_phosphatidylglycerol_phosphate_A[c]
Cardiolipin_Metabolism	m_phosphatidylglycerol_phosphate_N[c]
Cholesterol_Synthesis	m_24_25_dihydrolanosterol_A[c]
Cholesterol_Synthesis	m_2E_6E_farnesyl_diphosphate_A[c]
Cholesterol_Synthesis	m_3_keto_4_methylzymosterol_A[c]
Cholesterol_Synthesis	m_4_4_dimethyl_14alpha_formyl_5alpha_cholesta_8_24_dien_3beta_ol_A[c]
Cholesterol_Synthesis	m_4_4_dimethyl_14alpha_formyl_5alpha_cholesta_8_en_3beta_ol_A[c]
Cholesterol_Synthesis	m_4_4_dimethyl_14alpha_hydroxymethyl_5alpha_cholesta_8_24_dien_3beta_ol_A[c]
Cholesterol_Synthesis	m_4_4_dimethyl_14alpha_hydroxymethyl_5alpha_cholesta_8_en_3beta_ol_A[c]
Cholesterol_Synthesis	m_4_4_dimethyl_5_alpha_cholesta_8_14_24_trien_3_beta_ol_A[c]
Cholesterol_Synthesis	m_4_4_dimethyl_5_alpha_cholesta_8_14_dien_3_beta_ol_A[c]
Cholesterol_Synthesis	m_4_4_dimethyl_5alpha_cholesta_8_en_3_beta_ol_A[c]
