Var1	Var2	Var3
n_R1	R1	Glycolysis
n_R2	R2	Glycolysis
n_R3	R3	Glycolysis
n_R4	R4	Glycolysis
n_R5	R5	Glycolysis
n_R6	R6	Glycolysis
n_R7	R7	Glycolysis
n_R8	R8	Glycolysis
n_R9	R9	Glycolysis
n_R10	R10	Glycolysis
n_R11	R11	Glycolysis
n_R12	R12	Glycolysis
n_R13	R13	Glycolysis
n_R14	R14	Glycolysis
n_R15	R15	Glycolysis
n_R16	R16	Glycolysis
n_R17	R17	Pentose Phosphate Pathway
n_R18	R18	Pentose Phosphate Pathway
n_R19	R19	Pentose Phosphate Pathway
n_R20	R20	Pentose Phosphate Pathway
n_R21	R21	Pentose Phosphate Pathway
n_R22	R22	Pentose Phosphate Pathway
n_R23	R23	Pentose Phosphate Pathway
n_R24	R24	Pentose Phosphate Pathway
n_R25	R25	TCA Cycle
n_R26	R26	TCA Cycle
n_R27	R27	TCA Cycle
n_R28	R28	TCA Cycle
n_R29	R29	TCA Cycle
n_R30	R30	TCA Cycle
n_R31	R31	TCA Cycle
n_R32	R32	TCA Cycle
n_R33	R33	TCA Cycle
n_R34	R34	TCA Cycle
n_R35	R35	TCA Cycle
n_R36	R36	TCA Cycle
n_R37	R37	TCA Cycle
n_R38	R38	TCA Cycle
n_R39	R39	TCA Cycle
n_R40	R40	TCA Cycle
n_R41	R41	Oxidative Phosphorylation and ATPase
n_R42	R42	Oxidative Phosphorylation and ATPase
n_R43	R43	Oxidative Phosphorylation and ATPase
n_R44	R44	Oxidative Phosphorylation and ATPase
n_R45	R45	Oxidative Phosphorylation and ATPase
n_R46	R46	Glycolysis
n_R47	R47	Glycolysis
n_R48	R48	Glycolysis
n_R49	R49	Glycolysis
n_R50	R50	Glycolysis
n_R51	R51	Glycolysis
n_R52	R52	Glycolysis
n_R53	R53	Glycolysis
n_R54	R54	Glycolysis
n_R55	R55	Glycolysis
n_R56	R56	Glycolysis
n_R57	R57	Glycolysis
n_R58	R58	Glycolysis
n_R59	R59	Glycolysis
n_R60	R60	Glycolysis
n_R61	R61	Pentose Phosphate Pathway
n_R62	R62	Pentose Phosphate Pathway
n_R63	R63	Pentose Phosphate Pathway
n_R64	R64	Pentose Phosphate Pathway
n_R65	R65	Pentose Phosphate Pathway
n_R66	R66	Pentose Phosphate Pathway
n_R67	R67	Pentose Phosphate Pathway
n_R68	R68	Pentose Phosphate Pathway
n_R69	R69	TCA Cycle
n_R70	R70	TCA Cycle
n_R71	R71	TCA Cycle
n_R72	R72	TCA Cycle
n_R73	R73	TCA Cycle
n_R74	R74	TCA Cycle
n_R75	R75	TCA Cycle
n_R76	R76	TCA Cycle
n_R77	R77	TCA Cycle
n_R78	R78	TCA Cycle
n_R79	R79	TCA Cycle
n_R80	R80	TCA Cycle
n_R81	R81	TCA Cycle
n_R82	R82	TCA Cycle
n_R83	R83	TCA Cycle
n_R84	R84	Oxidative Phosphorylation and ATPase
n_R85	R85	Oxidative Phosphorylation and ATPase
n_R86	R86	Oxidative Phosphorylation and ATPase
n_R87	R87	Oxidative Phosphorylation and ATPase
n_R88	R88	Oxidative Phosphorylation and ATPase
n_R89	R89	Glutamate - Glutamine Cycle
n_R90	R90	Glutamate - Glutamine Cycle
n_R91	R91	Glutamate - Glutamine Cycle
n_R92	R92	Glutamate - Glutamine Cycle
n_R93	R93	Glutamate - Glutamine Cycle
n_R94	R94	Glutamate - Glutamine Cycle
n_R95	R95	Glutamate - Glutamine Cycle
n_R96	R96	Glutamate - Glutamine Cycle
n_R97	R97	GABA Cycle
n_R98	R98	GABA Cycle
n_R99	R99	GABA Cycle
n_R100	R100	GABA Cycle
n_R101	R101	GABA Cycle
n_R102	R102	GABA Cycle
n_R103	R103	Aspartate Metabolism
n_R104	R104	Aspartate Metabolism
n_R105	R105	Aspartate Metabolism
n_R106	R106	Asparagine Metabolism
n_R107	R107	Histamine Metabolism
n_R108	R108	Histamine Metabolism
n_R109	R109	Alanine Metabolism
n_R110	R110	Alanine Metabolism
n_R111	R111	Alanine Metabolism
n_R112	R112	Glycine-Serine Metabolism
n_R113	R113	Glycine-Serine Metabolism
n_R114	R114	Glycine-Serine Metabolism
n_R115	R115	Glycine-Serine Metabolism
n_R116	R116	Glycine-Serine Metabolism
n_R117	R117	Glycine-Serine Metabolism
n_R118	R118	Glycine-Serine Metabolism
n_R119	R119	Glycine-Serine Metabolism
n_R120	R120	Glycine-Serine Metabolism
n_R121	R121	Leucine Metabolism
n_R122	R122	Leucine Metabolism
n_R123	R123	Leucine Metabolism
n_R124	R124	Leucine Metabolism
n_R125	R125	Leucine Metabolism
n_R126	R126	Leucine Metabolism
n_R127	R127	Leucine Metabolism @  Ketone Body Metabolism
n_R128	R128	Leucine Metabolism @  Ketone Body Metabolism
n_R129	R129	Leucine Metabolism
n_R130	R130	Leucine Metabolism
n_R131	R131	Leucine Metabolism
n_R132	R132	Valine Metabolism
n_R133	R133	Valine Metabolism
n_R134	R134	Valine Metabolism
n_R135	R135	Valine Metabolism
n_R136	R136	Valine Metabolism
n_R137	R137	Valine Metabolism
n_R138	R138	Valine Metabolism
n_R139	R139	Valine Metabolism @  Isoleucine Metabolism
n_R140	R140	Valine Metabolism @  Isoleucine Metabolism
n_R141	R141	Valine Metabolism @  Isoleucine Metabolism
n_R142	R142	Valine Metabolism
n_R143	R143	Valine Metabolism
n_R144	R144	Valine Metabolism
n_R145	R145	Isoleucine Metabolism
n_R146	R146	Isoleucine Metabolism
n_R147	R147	Isoleucine Metabolism
n_R148	R148	Isoleucine Metabolism
n_R149	R149	Isoleucine Metabolism
n_R150	R150	Isoleucine Metabolism
n_R151	R151	Isoleucine Metabolism
n_R152	R152	Isoleucine Metabolism
n_R153	R153	Isoleucine Metabolism
n_R154	R154	Lysine Metabolism
n_R155	R155	Lysine Metabolism
n_R156	R156	Lysine Metabolism
n_R157	R157	Lysine Metabolism
n_R158	R158	Lysine Metabolism
n_R159	R159	Lysine Metabolism
n_R160	R160	Lysine Metabolism
n_R161	R161	Lysine Metabolism
n_R162	R162	Lysine Metabolism
n_R163	R163	Lysine Metabolism
n_R164	R164	Lysine Metabolism @  Ketone Body Metabolism
n_R165	R165	Phenylalanine-Tyrosine Metabolism
n_R166	R166	Phenylalanine-Tyrosine Metabolism
n_R167	R167	Phenylalanine-Tyrosine Metabolism
n_R168	R168	Phenylalanine-Tyrosine Metabolism
n_R169	R169	Phenylalanine-Tyrosine Metabolism
n_R170	R170	Phenylalanine-Tyrosine Metabolism
n_R171	R171	Phenylalanine-Tyrosine Metabolism
n_R172	R172	Phenylalanine-Tyrosine Metabolism
n_R173	R173	Phenylalanine-Tyrosine Metabolism
n_R174	R174	Tryptophan Metabolism
n_R175	R175	Tryptophan Metabolism
n_R176	R176	Tryptophan Metabolism
n_R177	R177	Tryptophan Metabolism
n_R178	R178	Acetylcholine Metabolism
n_R179	R179	Proline metabolism
n_R180	R180	Proline metabolism
n_R181	R181	Methionine Metabolism
n_R182	R182	Methionine Metabolism
n_R183	R183	Methionine Metabolism
n_R184	R184	Methionine Metabolism
n_R185	R185	Methionine Metabolism
n_R186	R186	Methionine Metabolism
n_R187	R187	Methionine Metabolism
n_R188	R188	Methionine Metabolism
n_R189	R189	Methionine Metabolism
n_R190	R190	Methionine Metabolism
n_R191	R191	Methionine Metabolism
n_R192	R192	Methionine Metabolism
n_R193	R193	Methionine Metabolism
n_R194	R194	Methionine Metabolism
n_R195	R195	Methionine Metabolism
n_R196	R196	Threonine Metabolism
n_R197	R197	Threonine Metabolism
n_R198	R198	Threonine Metabolism
n_R199	R199	Threonine Metabolism
n_R200	R200	Threonine Metabolism
n_R201	R201	Threonine Metabolism
n_R202	R202	Cholesterol Synthesis
n_R203	R203	Cholesterol Synthesis
n_R204	R204	Cholesterol Synthesis
n_R205	R205	Cholesterol Synthesis
n_R206	R206	Cholesterol Synthesis
n_R207	R207	Cholesterol Synthesis
n_R208	R208	Cholesterol Synthesis
n_R209	R209	Cholesterol Synthesis
n_R210	R210	Cholesterol Synthesis
n_R211	R211	Cholesterol Synthesis
n_R212	R212	Cholesterol Synthesis
n_R213	R213	Cholesterol Synthesis
n_R214	R214	Cholesterol Synthesis
n_R215	R215	Cholesterol Synthesis
n_R216	R216	Cholesterol Synthesis
n_R217	R217	Cholesterol Synthesis
n_R218	R218	Cholesterol Synthesis
n_R219	R219	Cholesterol Synthesis
n_R220	R220	Cholesterol Synthesis
n_R221	R221	Cholesterol Synthesis
