Var1	Var2
n_R100	ALDH5A1
n_R101	ABAT
n_R102	ALDH5A1
n_R103	GOT1
n_R103	GOT1L1
n_R103	GOT2
n_R105	GOT1
n_R105	GOT1L1
n_R105	GOT2
n_R106	ASNS
n_R107	HDC
n_R108	HNMT
n_R109	GPT
n_R109	GPT2
n_R10	PKLR
n_R10	PKM2
n_R111	GPT
n_R111	GPT2
n_R112	PHGDH
n_R112	PHGDHL1
n_R113	PSAT1
n_R114	PSPH
n_R114	PSPHL
n_R115	SDS
n_R115	SDSL
n_R117	SHMT1
n_R117	SHMT2
n_R11	LDHA
n_R11	LDHAL6A
n_R11	LDHAL6B
n_R11	LDHB
n_R11	LDHC
n_R120	SHMT1
n_R120	SHMT2
n_R121	BCAT1
n_R121	BCAT2
n_R123	IVD
n_R124	MCCC1
n_R124	MCCC2
n_R125	AUH
n_R126	HMGCL
n_R126	HMGCLL1
n_R127	OXCT1
n_R128	ACAA1
n_R128	ACAT1
n_R128	ACAT2
n_R128	HADHB
n_R12	PC
n_R130	BCAT1
n_R130	BCAT2
n_R132	BCAT1
n_R132	BCAT2
n_R133	BCKDHA
n_R133	BCKDHB
n_R133	DBT
n_R133	DLD
n_R134	ACAD8
n_R134	ACADSB
n_R135	ECHS1
n_R135	EHHADH
n_R135	HADHA
n_R136	HIBCH
n_R137	HIBADH
n_R138	ALDH6A1
n_R139	PCCA
n_R139	PCCB
n_R13	DLAT
n_R13	DLD
n_R13	PDHA1
n_R13	PDHB
n_R13	PDHX
n_R140	MCEE
n_R141	MUT
n_R143	BCAT1
n_R143	BCAT2
n_R145	BCAT1
n_R145	BCAT2
n_R146	BCKDHA
n_R146	BCKDHB
n_R146	DBT
n_R146	DLD
n_R147	ACADSB
n_R148	ECHS1
n_R148	EHHADH
n_R148	HADHA
n_R149	HSD17B10
n_R14	PCK1
n_R14	PCK2
n_R150	ACAT1
n_R150	ACAT2
n_R150	HADHB
n_R152	BCAT1
n_R152	BCAT2
n_R154	AASS
n_R155	AASS
n_R155	SCCPDH
n_R156	ALDH7A1
n_R157	ALDH7A1
n_R15	BPGM
n_R15	PGAM1
n_R15	PGAM2
n_R160	GCDH
n_R161	GCDH
n_R164	ACAA1
n_R164	ACAT1
n_R164	ACAT2
n_R164	HADHB
n_R165	PAH
n_R166	PCBD1
n_R166	PCBD2
n_R167	QDPR
n_R168	TH
n_R169	DDC
n_R16	BPGM
n_R16	PGAM1
n_R16	PGAM2
n_R170	DBH
n_R171	PNMT
n_R173	DBH
n_R174	TPH1
n_R174	TPH2
n_R175	DDC
n_R176	AANAT
n_R177	ASMT
n_R178	CHAT
n_R179	P5CR2
n_R179	PYCR1
n_R179	PYCRL
n_R17	G6PD
n_R180	LOC440792
n_R180	PRODH
n_R182	MAT1A
n_R182	MAT2A
n_R182	MAT2B
n_R184	AHCY
n_R184	AHCYL1
n_R184	AHCYL2
n_R185	CBS
n_R186	CTH
n_R187	MTR
n_R188	BCKDHA
n_R188	BCKDHB
n_R188	DBT
n_R188	DLD
n_R18	H6PD
n_R18	PGLS
n_R190	MAT1A
n_R190	MAT2A
n_R190	MAT2B
n_R192	AHCY
n_R192	AHCYL1
n_R192	AHCYL2
n_R193	CBS
n_R194	CTH
n_R195	MTR
n_R198	GCAT
n_R1	GCK
n_R1	HK1
n_R1	HK2
n_R1	HK3
n_R1	HKDC1
n_R201	GCAT
n_R202	HMGCS1
n_R202	HMGCS2
n_R203	HMGCR
n_R204	MVK
n_R205	PMVK
n_R206	MVD
n_R207	IDI1
n_R207	IDI2
n_R208	FDPS
n_R208	GGPS1
n_R209	FDPS
n_R209	GGPS1
n_R20	RPE
n_R210	FDFT1
n_R211	FDFT1
n_R212	SQLE
n_R213	LSS
n_R214	CYP51A1
n_R215	CYP51A1
n_R216	CYP51A1
n_R217	LBR
n_R217	TM7SF2
n_R218	SC4MOL
n_R219	SC4MOL
n_R21	RPIA
n_R220	SC4MOL
n_R221	NSDHL
n_R222	HSD17B7
n_R223	SC4MOL
n_R224	SC4MOL
n_R225	SC4MOL
n_R226	NSDHL
n_R227	HSD17B7
n_R228	EBP
n_R229	SC5DL
n_R22	TKT
n_R22	TKTL1
n_R22	TKTL2
n_R230	DHCR7
n_R231	DHCR24
n_R232	DHCR24
n_R233	SC5DL
n_R234	DHCR7
n_R235	DHCR24
