Var1	Var2
n_R100	m_NADH_AM[c]
n_R100	m_NAD_AM[c]
n_R100	m_SuccinateSAL_A[c]
n_R100	m_Succinate_A[c]
n_R101	m_GABA_N[c]
n_R101	m_Glutamate_N[c]
n_R101	m_SuccinateSAL_N[c]
n_R101	m_alpha_ketoglutarate_N[c]
n_R102	m_NADH_NM[c]
n_R102	m_NAD_NM[c]
n_R102	m_SuccinateSAL_N[c]
n_R102	m_Succinate_N[c]
n_R103	m_Aspartate_N[c]
n_R103	m_Glutamate_N[c]
n_R103	m_Oxoloacetate_N[c]
n_R103	m_alpha_ketoglutarate_N[c]
n_R104	m_Aspartate_A[c]
n_R104	m_Aspartate_N[c]
n_R105	m_Aspartate_A[c]
n_R105	m_Glutamate_A[c]
n_R105	m_Oxoloacetate_A[c]
n_R105	m_alpha_ketoglutarate_A[c]
n_R106	m_AMP_N[c]
n_R106	m_ATP_N[c]
n_R106	m_Asparagine_N[c]
n_R106	m_Aspartate_N[c]
n_R106	m_Glutamate_N[c]
n_R106	m_Glutamine_N[c]
n_R107	m_CO2_N[c]
n_R107	m_Histamine_N[c]
n_R107	m_Histidine_N[c]
n_R108	m_Histamine_N[c]
n_R108	m_S_adenosyl_L_homocysteine_N[c]
n_R108	m_S_adenosyl_L_methionine_N[c]
n_R108	m_methylhistamine_N[c]
n_R109	m_Alanine_N[c]
n_R109	m_Glutamate_N[c]
n_R109	m_Pyruvate_N[c]
n_R109	m_alpha_ketoglutarate_N[c]
n_R10	m_ADP_A[c]
n_R10	m_ATP_A[c]
n_R10	m_Phosphoenol_pyruvate_A[c]
n_R10	m_Pyruvate_A[c]
n_R110	m_Alanine_A[c]
n_R110	m_Alanine_N[c]
n_R111	m_Alanine_A[c]
n_R111	m_Glutamate_A[c]
n_R111	m_Pyruvate_A[c]
n_R111	m_alpha_ketoglutarate_A[c]
n_R112	m_3_phosphoglycerate_A[c]
n_R112	m_3_phosphohydroxypyruvate_A[c]
n_R112	m_NADH_A[c]
n_R112	m_NAD_A[c]
n_R113	m_3_phospho_serine_A[c]
n_R113	m_3_phosphohydroxypyruvate_A[c]
n_R113	m_Glutamate_A[c]
n_R113	m_alpha_ketoglutarate_A[c]
n_R114	m_3_phospho_serine_A[c]
n_R114	m_Serine_A[c]
n_R115	m_NH3_A[c]
n_R115	m_Pyruvate_A[c]
n_R115	m_Serine_A[c]
n_R116	m_Serine_A[c]
n_R116	m_Serine_N[c]
n_R117	m_Glycine_N[c]
n_R117	m_Serine_N[c]
n_R117	m_tetrahydrofolate_N[c]
n_R118	m_Glycine_A[c]
n_R118	m_Glycine_N[c]
n_R119	m_CO2_A[c]
n_R119	m_Glycine_A[c]
n_R119	m_NADH_AM[c]
n_R119	m_NAD_AM[c]
n_R119	m_NH3_A[c]
n_R119	m_tetrahydrofolate_A[c]
n_R11	m_Lactate_A[c]
n_R11	m_NADH_A[c]
n_R11	m_NAD_A[c]
n_R11	m_Pyruvate_A[c]
n_R120	m_Glycine_A[c]
n_R120	m_Serine_A[c]
n_R120	m_tetrahydrofolate_A[c]
n_R121	m_Glutamate_A[c]
n_R121	m_KIC_A[c]
n_R121	m_Leucine_A[c]
n_R121	m_alpha_ketoglutarate_A[c]
n_R122	m_CO2_A[c]
n_R122	m_Isovaleryl_CoA_A[c]
n_R122	m_KIC_A[c]
n_R122	m_NADH_AM[c]
n_R122	m_NAD_AM[c]
n_R123	m_3_methylcrotonyl_Coa_A[c]
n_R123	m_FADH2_AM[c]
n_R123	m_FAD_AM[c]
n_R123	m_Isovaleryl_CoA_A[c]
n_R124	m_3_methylcrotonyl_Coa_A[c]
n_R124	m_3_methylglutaconyl_Coa_A[c]
n_R124	m_ADP_A[c]
n_R124	m_ATP_A[c]
n_R124	m_Bicarbonate_A[c]
n_R125	m_3_hydroxy_3_methylglutaryl_Coa_A[c]
n_R125	m_3_methylglutaconyl_Coa_A[c]
n_R126	m_3_hydroxy_3_methylglutaryl_Coa_A[c]
n_R126	m_Acetoacetate_A[c]
n_R126	m_Acetyl_CoA_A[c]
n_R127	m_Acetoacetate_A[c]
n_R127	m_Acetoacetyl_CoA_A[c]
n_R127	m_Succinate_A[c]
n_R127	m_Succinyl_CoA_A[c]
n_R128	m_Acetoacetyl_CoA_A[c]
n_R128	m_Acetyl_CoA_A[c]
n_R129	m_KIC_A[c]
n_R129	m_KIC_N[c]
n_R12	m_ADP_A[c]
n_R12	m_ATP_A[c]
n_R12	m_Bicarbonate_A[c]
n_R12	m_Oxoloacetate_A[c]
n_R12	m_Pyruvate_A[c]
n_R130	m_Glutamate_N[c]
n_R130	m_KIC_N[c]
n_R130	m_Leucine_N[c]
n_R130	m_alpha_ketoglutarate_N[c]
n_R131	m_Leucine_A[c]
n_R131	m_Leucine_N[c]
n_R132	m_Glutamate_A[c]
n_R132	m_KIV_A[c]
n_R132	m_Valine_A[c]
